,laeq,hour,day,day_of_month,month,weekend,LC_HUMIDITY,LC_DWPTEMP,LC_n,LC_RAD,LC_RAININ,LC_DAILYRAIN,LC_WINDDIR,LC_WINDSPEED,LC_RAD60,LC_TEMP_QCL0,LC_TEMP_QCL1,LC_TEMP_QCL2,LC_TEMP_QCL3,pm25,pm10,no2,bc,o3,air_pressure,air_temperature,precipitation,relative_humidity,wind_speed,wind_direction
LC_TEMP_QCL0,0.22461269314778196,0.1669652969977458,-0.007130757040535537,0.058250980629455634,0.1324702318199532,-0.033655569831602145,-0.6320910051424375,0.7812585829873588,-0.6471780071063946,0.5034619209168064,-0.012428288548005683,-0.021605694308642252,0.10650415502992983,0.041364997336387065,0.5492920866584796,1.0,1.0,1.0000000000000004,0.9992357334775185,-0.4067145039516539,-0.18058254363255163,-0.4983214131112523,-0.4331978799563153,0.5581062971039572,-0.05132084062161873,0.9345042938865196,0.01201823599616177,-0.3733386243675085,-0.04766321692058346,-0.053558564346679334
LC_TEMP_QCL1,0.22461269314778196,0.1669652969977458,-0.007130757040535537,0.058250980629455634,0.1324702318199532,-0.033655569831602145,-0.6320910051424375,0.7812585829873588,-0.6471780071063946,0.5034619209168064,-0.012428288548005683,-0.021605694308642252,0.10650415502992983,0.041364997336387065,0.5492920866584796,1.0,1.0,1.0000000000000004,0.9992357334775185,-0.4067145039516539,-0.18058254363255163,-0.4983214131112523,-0.4331978799563153,0.5581062971039572,-0.05132084062161873,0.9345042938865196,0.01201823599616177,-0.3733386243675085,-0.04766321692058346,-0.053558564346679334
LC_TEMP_QCL2,0.22461269314778218,0.16696529699774565,-0.007130757040535548,0.05825098062945553,0.13247023181995277,-0.03365556983160216,-0.6320910051424375,0.7812585829873585,-0.6471780071063944,0.5034619209168063,-0.012428288548005678,-0.021605694308642294,0.10650415502992978,0.04136499733638729,0.5492920866584796,1.0000000000000004,1.0000000000000004,1.0,0.9992357334775183,-0.40671450395165387,-0.18058254363255155,-0.4983214131112522,-0.4331978799563153,0.5581062971039575,-0.051320840621618555,0.934504293886519,0.01201823599616175,-0.3733386243675085,-0.04766321692058336,-0.05355856434667937
LC_TEMP_QCL3,0.21680585688902446,0.1669693869592875,-0.006918122584308729,0.060055633852532826,0.13718258379530018,-0.03428305181098933,-0.6185246632406008,0.7912158725816502,-0.6470789130790164,0.4847941779558983,-0.010719724019973833,-0.016514915487671377,0.10411155726434522,0.03928344794433059,0.528820295121424,0.9992357334775185,0.9992357334775185,0.9992357334775183,1.0,-0.4136822210236134,-0.1874121873730193,-0.5044259236605,-0.4382826393633834,0.5560658615199616,-0.057290233016476726,0.9376769289538635,0.013025308532276991,-0.36461706841643066,-0.043607226992318664,-0.0513644638282492
pm25,-0.0030264092302966857,0.003747907202078061,0.05974261250368263,0.03574303885610365,-0.13620576938897036,0.036461313107095765,0.04605930381566049,-0.5020284473131751,0.2658402043101818,-0.11160132782551484,-0.043811916757290036,-0.11007851131544713,0.0646727101373145,-0.11354106882397731,-0.11413525081895329,-0.4067145039516539,-0.4067145039516539,-0.40671450395165387,-0.4136822210236134,1.0,0.9283686317964978,0.750562281858947,0.7753480430816282,-0.41172879603392293,0.33383676760037523,-0.4597549384472758,-0.03786784027006992,0.12429499388372851,-0.3084676616836873,-0.2345964777499582
pm10,0.029258948986267616,0.003507852728388417,0.08024439144906241,0.08701799527148042,-0.16025301253040383,0.009476161069954782,-0.14250650248732213,-0.35515465196868357,0.11071873461440143,-0.02528577200512073,-0.06424616981996213,-0.1726167787412266,0.08648833026071277,-0.11263853144339377,-0.02586273900406514,-0.18058254363255163,-0.18058254363255163,-0.18058254363255155,-0.1874121873730193,0.9283686317964978,1.0,0.6880108593186478,0.7021173322190442,-0.20684060025283155,0.35590815572790246,-0.2390820961280024,-0.052103297680203414,-0.016164132263631864,-0.3415441312470851,-0.27202642473273175
no2,0.02376173615727172,0.0037989578958496327,0.07694202578619347,-0.016592775281087154,-0.09946486877254387,-0.012333771101298173,0.1827428002110825,-0.5243208291234326,0.37103016225544155,-0.17717423138368427,-0.04338758473525209,-0.12845008202889904,-0.01010557077060122,-0.19914304835785945,-0.1809013523480087,-0.4983214131112523,-0.4983214131112523,-0.4983214131112522,-0.5044259236605,0.750562281858947,0.6880108593186478,1.0,0.8741693088426068,-0.6021892411798451,0.3221653729185449,-0.5070465387663057,-0.04144634352441897,0.1523341331466103,-0.4033487886685557,-0.029315882911132685
bc,0.012887950565688413,0.0021653227558349948,0.04354429746670615,0.003121671248577953,0.12551844555901767,0.01472926252886224,0.18322416999792948,-0.43644744058340296,0.3451556731816638,-0.16788185405470682,-0.04125720557003894,-0.11519775001029389,-0.007156109523963305,-0.22558179994270366,-0.17152142640391937,-0.4331978799563153,-0.4331978799563153,-0.4331978799563153,-0.4382826393633834,0.7753480430816282,0.7021173322190442,0.8741693088426068,1.0,-0.610718691148743,0.23231990247782627,-0.4213109459602417,-0.038089171305225177,0.15615945039723247,-0.3748145061920443,-0.09290158148430178
o3,0.002506777038596041,-0.003568698741029269,-0.0066940504872502185,0.04251686853720461,-0.29054896523824814,-0.012720171801227843,-0.5705680150585325,0.2801542258959369,-0.4846335407316683,0.30630572282927343,-0.006978870683091727,-0.027671420552510557,0.08014517386039717,0.24332828171209525,0.3128218050830796,0.5581062971039572,0.5581062971039572,0.5581062971039575,0.5560658615199616,-0.41172879603392293,-0.20684060025283155,-0.6021892411798451,-0.610718691148743,1.0,-0.11221941577981759,0.5017116818038609,-0.0019106893133986498,-0.4254297727184761,0.20004802753189285,-0.13669936568104382
air_pressure,-0.05954303573296407,0.0025262969113302933,0.04825954199347746,-0.008878631479443164,-0.3200648232497122,0.09214890298695984,-0.15161963496151057,-0.18427063027544194,-0.07819173480107408,0.08648377428178942,-0.11402440154896348,-0.2608333000935898,0.09827311957054297,-0.11636059267576117,0.08458666967805481,-0.05132084062161873,-0.05132084062161873,-0.051320840621618555,-0.057290233016476726,0.33383676760037523,0.35590815572790246,0.3221653729185449,0.23231990247782627,-0.11221941577981759,1.0,-0.06129885774095864,-0.08937255459086813,-0.12394440162276738,-0.3801529127953335,-0.11212076487903343
air_temperature,0.11447264740823619,0.08442855673217924,0.0023712710774400404,0.04459009333283689,0.22801789580917164,-0.018595145271532266,-0.4689186649244563,0.8320072833608475,-0.67834792277881,0.39379871469529215,-0.009820685085640454,-0.0035255545223840993,0.0772209399180739,-0.0459137546003199,0.41409673003065445,0.9345042938865196,0.9345042938865196,0.934504293886519,0.9376769289538635,-0.4597549384472758,-0.2390820961280024,-0.5070465387663057,-0.4213109459602417,0.5017116818038609,-0.06129885774095864,1.0,0.0006504520191712719,-0.4030513350391661,-0.0818313527314575,-0.012692624664656038
precipitation,0.014665504152246805,-0.0058618238589615065,0.0043957694843085255,-0.0006101615980754555,0.02667282706072115,0.004427353324130341,0.04794243461018588,0.05357047657088723,-0.01224808053493782,-0.010057060044135252,0.08424131673605002,0.06423058199714453,-0.0061251346017144725,0.027854565361865372,-0.007617222679029566,0.01201823599616177,0.01201823599616177,0.01201823599616175,0.013025308532276991,-0.03786784027006992,-0.052103297680203414,-0.04144634352441897,-0.038089171305225177,-0.0019106893133986498,-0.08937255459086813,0.0006504520191712719,1.0,0.07132407879510819,0.037850560765006244,0.023041470023422425
relative_humidity,-0.1750544446947881,-0.1443569210683078,0.004375841258619833,0.053898767280650385,0.14406417441053077,-0.017660612830382755,0.68590516937107,0.053176021097651745,0.3413538135771126,-0.3441530552819983,0.0777705856953216,0.1478672729900483,-0.1350796182071118,-0.16446465932709872,-0.3701657792723345,-0.3733386243675085,-0.3733386243675085,-0.3733386243675085,-0.36461706841643066,0.12429499388372851,-0.016164132263631864,0.1523341331466103,0.15615945039723247,-0.4254297727184761,-0.12394440162276738,-0.4030513350391661,0.07132407879510819,1.0,-0.01058536038649819,0.049475586040297594
wind_speed,0.06032061478751855,0.0511927447438006,0.042474823431984804,-0.027094043235781004,-0.04101199168374851,0.04205040427172859,0.022383529971036795,-0.03380294828709765,0.1631777577950701,-0.037341712602622056,0.05528358045960976,0.11404716053094792,-0.026200023924139223,0.4326958111451057,-0.021964845889260738,-0.04766321692058346,-0.04766321692058346,-0.04766321692058336,-0.043607226992318664,-0.3084676616836873,-0.3415441312470851,-0.4033487886685557,-0.3748145061920443,0.20004802753189285,-0.3801529127953335,-0.0818313527314575,0.037850560765006244,-0.01058536038649819,1.0,0.049970963259408474
wind_direction,-0.005426223730555492,-0.02959848888655977,0.04150298093984332,-0.05827793563885425,-0.013625106625977788,0.009260392672521836,0.22495039744582113,0.10593053352786476,0.08698499275146529,-0.009083151528652338,0.03540819465640221,0.11217008638428816,-0.22513254357880935,0.025005064972675704,-0.011731483670077775,-0.053558564346679334,-0.053558564346679334,-0.05355856434667937,-0.0513644638282492,-0.2345964777499582,-0.27202642473273175,-0.029315882911132685,-0.09290158148430178,-0.13669936568104382,-0.11212076487903343,-0.012692624664656038,0.023041470023422425,0.049475586040297594,0.049970963259408474,1.0
